Course title,Skills,Organization,Ratings,Review count,Workload,Workload_Hour,Difficulty_level,Language,Course_link,Payment_Model,Course_Type
Fundamentals of  CNNs and RNNs,"Data Analysis, Software Development",Sungkyunkwan University,4.4,40,4 hours/week,4.0,Beginner,ko,https://www.coursera.org/learn/cnns-and-rnns,Free Audit / Pay for Cert,Individual Course
Build a Data Warehouse Using BigQuery,"Data Analysis, Cloud Computing",Starweaver,,6,90 minutes,1.5,Advanced,en,https://www.coursera.org/learn/build-a-data-warehouse-using-bigquery,Free Audit / Pay for Cert,Individual Course
AI for Decision Makers,"Algorithms, Machine Learning",Fred Hutchinson Cancer Center,4.6,22,4-8 hours,6.0,Beginner,en,https://www.coursera.org/learn/ai-for-decision-makers,Free Audit / Pay for Cert,Individual Course
Crea un perfil para un trabajo soñado con Indeed,"Business Strategy, Personal Development",Coursera,,0,2 horas,2.0,Beginner,es,https://www.coursera.org/learn/crea-perfil-trabajo-sonado-indeed,Free Audit / Pay for Cert,Individual Course
Hybrid Cloud Infrastructure Foundations with Anthos en Français,Cloud Computing,Google Cloud,,1,,,Intermediate,fr,https://www.coursera.org/learn/hybrid-cloud-infrastructure-foundations-anthos-fr,Free Audit / Pay for Cert,Individual Course
Fundamentals of Data Analytics in the Public Sector with R,Data Analysis,University of Michigan,4.6,53,,,Intermediate,en,https://www.coursera.org/learn/fundamentals-of-data-analytics-in-the-public-sector-with-r,Free Audit / Pay for Cert,Individual Course
Gameplay en videojuegos,"Design And Product, Software Development",Universitat Autònoma de Barcelona,4.2,110,"4 semanas de estudio, 1-2 horas/semana",40.0,,es,https://www.coursera.org/learn/videojuegos-play,Free Audit / Pay for Cert,Individual Course
Key Enablers and Challenges in Implementing Industry 4.0,"Business Essentials, Business Strategy",Board Infinity ,,5,"4 weeks of study, 5 Hours/ Week",20.0,Intermediate,en,https://www.coursera.org/learn/key-enablers-and-challenges-in-industry-4-point-0,Free Audit / Pay for Cert,Individual Course
Medicaid Policy & Politics,"Public Health, Healthcare Management",University of Arizona,4.8,67,,,,en,https://www.coursera.org/learn/medicaid-policy-politics,Free Audit / Pay for Cert,Individual Course
Master SQL for Data Analysis,"Data Analysis, Data Management",Packt,,3,,,Intermediate,en,https://www.coursera.org/learn/packt-master-sql-for-data-analysis-creek,Free Audit / Pay for Cert,Individual Course
"Executive, Life Coach, Career, Or Business Coaching Success","Entrepreneurship, Business Strategy",Alex Genadinik,,0,,,,en,https://www.coursera.org/learn/coaching-success,Free Audit / Pay for Cert,Individual Course
Strategic Management,"Business Strategy, Leadership And Management",Copenhagen Business School,4.7,4561,"4 weeks of study, 2-4 hours/week",12.0,,en,https://www.coursera.org/learn/strategic-management,Free Audit / Pay for Cert,Individual Course
 Les bits et les octets des réseaux informatiques,"Networking, Computer Security And Networks",Google,,52415,8 - 10 heures par semaine,9.0,Beginner,fr,https://www.coursera.org/learn/les-bits-et-les-octets-des-reseaux-informatiques,Free Audit / Pay for Cert,Individual Course
"Games, Sensors and Media",Software Development,"University of California, Irvine",4.5,55,"4 weeks of study, 2-4 hours/week",12.0,,en,https://www.coursera.org/learn/games,Free Audit / Pay for Cert,Individual Course
Introduction to Data Science and scikit-learn in Python,"Data Analysis, Health Informatics",LearnQuest,3.7,59,4 weeks at 3-5 hours/week,16.0,Beginner,en,https://www.coursera.org/learn/data-science-and-scikit-learn-in-python,Free Audit / Pay for Cert,Individual Course
Coaching for Transformation: Sustaining Change,"Leadership And Management, Business Essentials",Scrum Alliance,,2,4 hours,4.0,Beginner,en,https://www.coursera.org/learn/coaching-for-transformation-sustaining-change,Free Audit / Pay for Cert,Individual Course
Introduction to Security Principles in Cloud Computing,"Cloud Computing, Software Development",Google Cloud,4.6,300,,,Beginner,en,https://www.coursera.org/learn/introduction-to-security-principles-in-cloud-computing,Free Audit / Pay for Cert,Individual Course
Create and Sell Digital Teaching Printables with Canva,"Marketing, Business Strategy",Coursera,4.5,18,2 hours,2.0,Intermediate,en,https://www.coursera.org/learn/create-sell-digital-teaching-printables-canva,Free Audit / Pay for Cert,Individual Course
Web Scraping With GPT: Translate Foreign News Headlines,"Software Development, Mobile And Web Development",Coursera,,0,2 hours,2.0,Intermediate,en,https://www.coursera.org/learn/rudi-hinds-ai-web-scraping-with-gpt-translating-foreign-news-headlines,Free Audit / Pay for Cert,Individual Course
Database Essentials and Vulnerabilities,"Computer Security And Networks, Security",IBM,4.7,61,"5 weeks, 3-4 hours/week",17.5,Beginner,en,https://www.coursera.org/learn/database-essentials-and-vulnerabilities,Free Audit / Pay for Cert,Individual Course
Route Datadog Monitoring Alerts to Google Cloud with Eventarc,"Cloud Computing, Networking",Google Cloud,,0,90 minutes,1.5,Beginner,en,https://www.coursera.org/learn/googlecloud-route-datadog-monitoring-alerts-to-google-cloud-with-eventarc-ai2ub,Free Audit / Pay for Cert,Individual Course
ChatGPT Mastery – Craft Prompts for Optimal Results,"Software Development, Support And Operations",Packt,4.7,22,,,Intermediate,en,https://www.coursera.org/learn/packt-chatgpt-mastery-craft-prompts-for-optimal-results-dqp2m,Free Audit / Pay for Cert,Individual Course
"Smart Analytics, Machine Learning and AI on GC - 한국어","Cloud Computing, Machine Learning",Google Cloud,,0,,,Intermediate,ko,https://www.coursera.org/learn/smart-analytics-machine-learning-ai-on-google-cloud-ko,Free Audit / Pay for Cert,Individual Course
Automate AI Lead Nurturing & CLV Analysis,"Marketing, Data Analysis",Coursera,,0,,,Beginner,en,https://www.coursera.org/learn/automate-ai-lead-nurturing--clv-analysis,Free Audit / Pay for Cert,Individual Course
The Future of Payment Technologies,"Finance, Business Essentials",University of Michigan,4.7,1772,,,Beginner,en,https://www.coursera.org/learn/paytech,Free Audit / Pay for Cert,Individual Course
Applied Machine Learning: Techniques and Applications,"Machine Learning, Algorithms",Johns Hopkins University,3.7,12,"4 weeks of study, 5-6 hours/week",22.0,Intermediate,en,https://www.coursera.org/learn/applied-machine-learning-techniques-and-applications,Free Audit / Pay for Cert,Individual Course
Introdução às Tecnologias Blockchain,"Business Essentials, Computer Security And Networks",INSEAD,4.9,32,"5 semanas de conteúdo, 2 horas por semana (aproximadamente)",50.0,Beginner,pt-BR,https://www.coursera.org/learn/introducao-tecnologias-blockchain,Free Audit / Pay for Cert,Individual Course
Financial Risk Management with R,"Finance, Probability And Statistics",Duke University,4.3,257,,,Intermediate,en,https://www.coursera.org/learn/financial-risk-management-with-r,Free Audit / Pay for Cert,Individual Course
Portfolio Selection and Risk Management,Finance,Rice University,4.6,630,5 weeks,50.0,,en,https://www.coursera.org/learn/portfolio-selection-risk-management,Free Audit / Pay for Cert,Individual Course
Financial Acumen for Non-Financial Managers,"Business Essentials, Finance",University of Pennsylvania,4.5,982,,,Beginner,en,https://www.coursera.org/learn/finance-healthcare-managers,Free Audit / Pay for Cert,Individual Course
Capstone: Your Story,Music And Art,Wesleyan University,4.6,460,"7 weeks of study, 3-5 hours/week",28.0,,en,https://www.coursera.org/learn/story-writing-project,Subscription,Capstone Project
Research Instruments and Research Hypotheses,"Marketing, Business Strategy",Queen Mary University of London,4.8,25,20 hours (4 hours per week)  ,20.0,Beginner,en,https://www.coursera.org/learn/research-instruments-and-research-hypotheses,Free Audit / Pay for Cert,Individual Course
GenAI for Financial Controllers: Boosting Budget Accuracy,"Machine Learning, Finance",Coursera,,0,3 Hours,3.0,Intermediate,en,https://www.coursera.org/learn/genai-for-financial-controllers-boosting-budget-accuracy,Free Audit / Pay for Cert,Individual Course
Richte dein Budget und deine Werbung auf Facebook ein,"Business Strategy, Networking",Coursera,,0,1.5 hours,1.5,Intermediate,de,https://www.coursera.org/learn/richte-dein-budget-und-deine-werbung-auf-facebook-ein,Free Audit / Pay for Cert,Individual Course
Managing the Company of the Future,Leadership And Management,University of London,4.8,3649,2-4 hours/week,3.0,,en,https://www.coursera.org/learn/company-future-management,Free Audit / Pay for Cert,Individual Course
"Social Impact Strategy with Goldman Sachs 10,000 Women",Business Strategy,Goldman Sachs,4.8,74,Suggested: 2-3 hours with optional learning hours,2.5,,en,https://www.coursera.org/learn/10kw-social-impact,Free Audit / Pay for Cert,Individual Course
Internet of Things Capstone: Build a Mobile Surveillance System,Electrical Engineering,University of California San Diego,3.7,10,"4 weeks of study, 3-5 hours/week",16.0,,en,https://www.coursera.org/learn/internet-of-things-capstone,Free Audit / Pay for Cert,Individual Course
Applied Behavior Analysis (ABA) Introduction,"Psychology, Basic Science",MedCerts,4.9,13,"3 weeks, 2-3 hours/week",7.5,Beginner,en,https://www.coursera.org/learn/applied-behavior-analysis-introduction,Free Audit / Pay for Cert,Individual Course
Ищем популярные ключевые слова и хэштеги в Twitter,"Marketing, Business Essentials",Coursera,,0,1 час,1.0,Beginner,ru,https://www.coursera.org/learn/get-more-followers-by-finding-trending-keywords-and-hashtags-ru,Free Audit / Pay for Cert,Individual Course
Linux Embedded System Topics and Projects,"Software Development, Design And Product",University of Colorado Boulder,4.7,20,"4 weeks of study, 10-15 hours per week",50.0,Advanced,en,https://www.coursera.org/learn/linux-embedded-systems-topics-projects,Free Audit / Pay for Cert,Individual Course
Building HTTP APIs with Spring,"Software Development, Mobile And Web Development",Vanderbilt University,4.2,29,2hrs/week,2.0,Beginner,en,https://www.coursera.org/learn/java-spring,Free Audit / Pay for Cert,Individual Course
Django (Python) Web Framework - The Comprehensive Guide,"Software Development, Cloud Computing",Packt,,3,,,Intermediate,en,https://www.coursera.org/learn/packt-django-python-web-framework-the-comprehensive-guide-6ba4j,Free Audit / Pay for Cert,Individual Course
Talend Data Integration Studio: Intermediate,"Data Analysis, Probability And Statistics",EDUCBA,,0,,,,en,https://www.coursera.org/learn/talend-data-integration-studio-intermediate,Free Audit / Pay for Cert,Individual Course
"MS Teams – Security, Compliance, and Advanced Administration","Networking, Support And Operations",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-ms-teams-security-compliance-and-advanced-administration-te8mj,Free Audit / Pay for Cert,Individual Course
Bases de la conception Expérience Utilisateur (UX),"Design And Product, Music And Art",Google,,0,,,Beginner,fr,https://www.coursera.org/learn/bases-de-la-conception-experience-utilisateur-ux,Free Audit / Pay for Cert,Individual Course
Fundamentos TIC para negocios: Programación,"Mobile And Web Development, Leadership And Management",Universitat Politècnica de València,,0,"4 semanas, 4 horas/semana",40.0,Beginner,es,https://www.coursera.org/learn/fundamentos-tic-para-negocios-programacion,Free Audit / Pay for Cert,Individual Course
AI Applications: Computer Vision and Speech Recognition,"Machine Learning, Data Analysis",Edureka,,1,"4 weeks of study, 2-3 hours/week",10.0,Intermediate,en,https://www.coursera.org/learn/ai-applications-computer-vision-and-speech-analysis,Free Audit / Pay for Cert,Individual Course
Probabilistic Graphical Models 3: Learning,"Machine Learning, Algorithms",Stanford University,4.6,304,,,Advanced,en,https://www.coursera.org/learn/probabilistic-graphical-models-3-learning,Free Audit / Pay for Cert,Individual Course
Marketing Analytics Capstone Project,"Marketing, Leadership And Management",Emory University,4.4,30,,,,en,https://www.coursera.org/learn/marketing-analytics-project,Subscription,Capstone Project
Advanced Ruby Programming and Object-Oriented Design,"Software Development, Design And Product",Packt,,5,,,Advanced,en,https://www.coursera.org/learn/packt-advanced-ruby-programming-and-object-oriented-design-prbon,Free Audit / Pay for Cert,Individual Course
PowerPoint Excellence – Advanced Design & Animation,"Business Essentials, Support And Operations",Packt,,1,,,Intermediate,en,https://www.coursera.org/learn/packt-powerpoint-excellence-advanced-design-animation-livxx,Free Audit / Pay for Cert,Individual Course
Como criar pipelines de dados em lote no Google Cloud,"Cloud Computing, Data Management",Google Cloud,4.8,16,,,Intermediate,pt-BR,https://www.coursera.org/learn/batch-data-pipelines-gcp-br,Free Audit / Pay for Cert,Individual Course
Cyber Threats and Attack Vectors,"Security, Computer Security And Networks",University of Colorado System,4.7,675,,,Beginner,en,https://www.coursera.org/learn/cyber-threats-attack-vectors,Free Audit / Pay for Cert,Individual Course
America's Unwritten Constitution,Law,Yale University,4.8,282,12-15 hours/week,13.5,,en,https://www.coursera.org/learn/unwritten-constitution,Free Audit / Pay for Cert,Individual Course
SOLIDWORKS Foundations: Sketching and Extrusion,"Mechanical Engineering, Design And Product",Dassault Systèmes,4.7,109,"2 weeks of study, 3 hours/week",6.0,Beginner,en,https://www.coursera.org/learn/solidworks-foundations-sketching-and-extrusion,Free Audit / Pay for Cert,Individual Course
"Religion and Thought in Modern China: the Song, Jin, and Yuan",History,The Chinese University of Hong Kong,4.5,48,,,,en,https://www.coursera.org/learn/religion-thought-modern-china,Free Audit / Pay for Cert,Individual Course
Black Agricultural Solutions to Food Apartheid: A Teach-Out,"Public Health, Environmental Science And Sustainability",Johns Hopkins University,4.7,18,,,Beginner,en,https://www.coursera.org/learn/black-agricultural-solutions,Free Audit / Pay for Cert,Individual Course
C# Programming Fundamentals and Development Environment,"Algorithms, Networking",Microsoft,,1,Total Weeks: 4   Hours per Week: 5,4.0,Beginner,en,https://www.coursera.org/learn/c-sharp-programming-fundamentals-and-development-environment,Free Audit / Pay for Cert,Individual Course
Stay Interviews,"Leadership And Management, Business Essentials",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-stay-interviews-ghegt,Free Audit / Pay for Cert,Individual Course
"Close, Negotiate, and Amplify Virtual Sales Success",Business Essentials,LearnQuest,,0,,,Beginner,en,https://www.coursera.org/learn/close-negotiate-and-amplify-virtual-sales-success,Free Audit / Pay for Cert,Individual Course
Building Strategic Foresight Capabilities,"Leadership And Management, Personal Development",EDHEC Business School,4.9,250,"6 weeks of study, 2 to 3 hours/week",18.0,Intermediate,en,https://www.coursera.org/learn/strategic-foresight,Free Audit / Pay for Cert,Individual Course
Mediciones corporales para la salud,"Nutrition, Patient Care",Universidad Nacional Autónoma de México,,0,,,Beginner,es,https://www.coursera.org/learn/mediciones-corporales,Free Audit / Pay for Cert,Individual Course
Introduction to PartyRock,Machine Learning,Amazon Web Services,,2,,,Beginner,en,https://www.coursera.org/learn/introduction-to-partyrock,Free Audit / Pay for Cert,Individual Course
Laboratório de Programação Orientada a Objetos - Parte 2,"Software Development, Data Management",Universidade de São Paulo,5.0,19,4 horas de estudo por semana durante as 5 semanas do curso.,50.0,Advanced,pt-BR,https://www.coursera.org/learn/lab-poo-parte-2,Free Audit / Pay for Cert,Individual Course
Build Your First Game in Unity,"Mobile And Web Development, Design And Product",Packt,,0,,,Beginner,en,https://www.coursera.org/learn/packt-build-your-first-game-in-unity-gnl6y,Free Audit / Pay for Cert,Individual Course
Secure Software Supply Chain: Create and Use Cloud Workstations,"Cloud Computing, Computer Security And Networks",Google Cloud,,0,1 hour,1.0,Beginner,en,https://www.coursera.org/learn/googlecloud-secure-software-supply-chain-create-and-use-cloud-workstations-vnccf,Free Audit / Pay for Cert,Individual Course
Excel: Dashboards and Geospatial Visualizations,"Business Essentials, Data Analysis",Logical Operations,,1,,,,en,https://www.coursera.org/learn/excel-dashboards-geospatial-visualizations-lo091157,Free Audit / Pay for Cert,Individual Course
Grounding Gemini Models in Vertex AI,"Cloud Computing, Machine Learning",Google Cloud,,0,1 hour 30 minutes,1.5,Beginner,en,https://www.coursera.org/learn/googlecloud-grounding-gemini-models-in-vertex-ai-vwogs,Free Audit / Pay for Cert,Individual Course
Seaborn Python: Visualize & Analyze Data Distributions,"Data Analysis, Probability And Statistics",EDUCBA,,0,,,,en,https://www.coursera.org/learn/seaborn-python-visualize-analyze-data-distributions,Free Audit / Pay for Cert,Individual Course
Create Interactive Dashboards with Streamlit and Python,"Data Analysis, Software Development",Coursera,4.7,77,2 hours,2.0,Intermediate,en,https://www.coursera.org/learn/interactive-dashboards-streamlit-python,Free Audit / Pay for Cert,Individual Course
Perspectives in Digital Transformation: Manufacturing,"Business Strategy, Leadership And Management",Banco Interamericano de Desarrollo,,2,"3 weeks, 3 hours/week.",9.0,Beginner,en,https://www.coursera.org/learn/perspectives-in-digital-transformation-manufacturing,Free Audit / Pay for Cert,Individual Course
Ultimate Argo Bootcamp – 6 DevOps Projects Included,"Cloud Computing, Machine Learning",Packt,,2,,,Intermediate,en,https://www.coursera.org/learn/packt-ultimate-argo-bootcamp-6-devops-projects-included-h6ikc,Free Audit / Pay for Cert,Individual Course
Ethical Hacking Foundations & Network Security,"Computer Security And Networks, Security",Packt,4.8,12,,,Beginner,en,https://www.coursera.org/learn/packt-ethical-hacking-foundations-network-security-7eje3,Free Audit / Pay for Cert,Individual Course
Explore Core Data Concepts in Microsoft Azure,"Data Management, Cloud Computing",Microsoft,4.7,482,"Two weeks of study, 1 to 2 hours of study per week.",2.0,Beginner,en,https://www.coursera.org/learn/explore-core-data-concepts-microsoft-azure,Free Audit / Pay for Cert,Individual Course
Heavy Manufacturing of Typical Static Equipment,"Mechanical Engineering, Research Methods",L&T EduTech,,7,,,Intermediate,en,https://www.coursera.org/learn/heavy-manufacturing-of-typical-static-equipment,Free Audit / Pay for Cert,Individual Course
Understanding the Value of Human-Centered Design,Business Essentials,University of Illinois Urbana-Champaign,4.3,15,,,,en,https://www.coursera.org/learn/human-centered-design,Free Audit / Pay for Cert,Individual Course
 FPGA computing systems: Background knowledge and introductory materials,"Design And Product, Software Development",Politecnico di Milano,4.6,247,4-10 hours/week,7.0,Beginner,en,https://www.coursera.org/learn/fpga-intro,Free Audit / Pay for Cert,Individual Course
Lean Problem - Solving for Team Members and Leaders,"Leadership And Management, Business Strategy",Coursera,,0,30 mins/week,0.5,Intermediate,en,https://www.coursera.org/learn/lean-problem---solving-for-team-members-and-leaders,Free Audit / Pay for Cert,Individual Course
Fundamentos TIC para negocios: Hardware,"Design And Product, Leadership And Management",Universitat Politècnica de València,,0,4 horas/Semana,4.0,Beginner,es,https://www.coursera.org/learn/fundamentos-tic-para-negocios-hardware,Free Audit / Pay for Cert,Individual Course
Accelerate Your Job Search with AI,"Personal Development, Machine Learning",Google,4.8,3930,,,Beginner,en,https://www.coursera.org/learn/accelerate-your-job-search-with-ai,Free Audit / Pay for Cert,Individual Course
GenAI for Legal Risk Mitigation: Proactive Case Analysis,"Machine Learning, Law",Coursera,,0,4 Hours,4.0,Advanced,en,https://www.coursera.org/learn/genai-for-legal-risk-mitigation-proactive-case-analysis,Free Audit / Pay for Cert,Individual Course
"Anatomy & Physiology: Fluids, Transport, and Defense","Basic Science, Research",Rice University,4.8,26,"3 weeks of study, 3-4 hours/week",10.5,Intermediate,en,https://www.coursera.org/learn/anatomy-physiology-fluids-transport-defense,Free Audit / Pay for Cert,Individual Course
데이터 분석가를 위한 BigQuery,Software Development,Google Cloud,,0,,,Intermediate,ko,https://www.coursera.org/learn/bigquery-for-data-analysts-ko,Free Audit / Pay for Cert,Individual Course
Troubleshooting Common SQL Errors with BigQuery,"Data Analysis, Data Management",Google Cloud,,0,50 minutes,0.8333333333333334,Beginner,en,https://www.coursera.org/learn/googlecloud-troubleshooting-common-sql-errors-with-bigquery-q3baf,Free Audit / Pay for Cert,Individual Course
Bing Copilot for Beginners: Enhancing Productivity with AI,"Marketing, Business Strategy",Coursera,,0,1.5 hour,1.5,Beginner,en,https://www.coursera.org/learn/bing-copilot-for-beginners-enhancing-productivity-with-ai,Free Audit / Pay for Cert,Individual Course
تحليل البيانات باستخدام البرمجة R,"Data Analysis, Data Management",Google,,194,,,Beginner,ar,https://www.coursera.org/learn/data-analysis-with-r-programming-arabic,Free Audit / Pay for Cert,Individual Course
Creating a Budget with Microsoft Excel,"Business Essentials, Data Analysis",Coursera,4.5,116,1 hour and 30 minutes,1.0,Intermediate,en,https://www.coursera.org/learn/creating-budget-microsoft-excel,Free Audit / Pay for Cert,Individual Course
Getting Started with Terraform for Google Cloud - Français,"Software Development, Cloud Computing",Google Cloud,,1,,,Beginner,fr,https://www.coursera.org/learn/getting-started-with-terraform-for-google-cloud-fr,Free Audit / Pay for Cert,Individual Course
Contemporary Biology ,Basic Science,University of North Texas,4.7,98,,,,en,https://www.coursera.org/learn/contemporary-biology,Free Audit / Pay for Cert,Individual Course
Interview Research and Preparation,Business Essentials,"University of Maryland, College Park",4.5,270,,,Intermediate,en,https://www.coursera.org/learn/interview-preparation,Free Audit / Pay for Cert,Individual Course
Mendesain Pengalaman Pengguna untuk Kebaikan Sosial & Bersiap untuk Pekerjaan,"Design And Product, Music And Art",Google,,0,,,Beginner,id,https://www.coursera.org/learn/mendesain-pengalaman-pengguna-untuk-kebaikan-sosial-bersiap-untuk-pekerjaan,Free Audit / Pay for Cert,Individual Course
Bioinformatic Methods II,Health Informatics,University of Toronto,4.7,487,12-18 hours of videos and labs,15.0,Beginner,en,https://www.coursera.org/learn/bioinformatics-methods-2,Free Audit / Pay for Cert,Individual Course
How to Use ChatGPT and Generative AI for Passive Income,"Entrepreneurship, Software Development",Packt,,8,,,Beginner,en,https://www.coursera.org/learn/packt-how-to-use-chatgpt-and-generative-ai-for-passive-income-wzafh,Free Audit / Pay for Cert,Individual Course
Mulesoft Integration on Salesforce Platform,"Cloud Computing, Data Analysis",Coursera,,0,90 minutes  ,1.5,Advanced,en,https://www.coursera.org/learn/mulesoft-integration-on-salesforce-platform,Free Audit / Pay for Cert,Individual Course
Hypothesis-Driven Development,"Design And Product, Software Development",University of Virginia,4.7,1014,"4 weeks of study, 2-4 hours/week",12.0,,en,https://www.coursera.org/learn/uva-darden-agile-testing,Free Audit / Pay for Cert,Individual Course
Manage Your Versions with Git (Part I),"Software Development, Support And Operations",Coursera,4.7,16,1.5 hours,1.5,Beginner,en,https://www.coursera.org/learn/git-1,Free Audit / Pay for Cert,Individual Course
Esports: Leveling Up Teach-Out,"Design And Product, Governance And Society",University of Michigan,,1,,,,en,https://www.coursera.org/learn/esports-leveling-up-teach-out,Free Audit / Pay for Cert,Individual Course
Exam Prep AZ-120: Azure for SAP Workloads Specialty,"Software Development, Business Essentials",Whizlabs,,1,"5 Weeks of study, 1-1:30 hours/week",150.0,Intermediate,en,https://www.coursera.org/learn/exam-prep-az-120-azure-for-sap-workloads-specialty,Free Audit / Pay for Cert,Individual Course
Fundamentos del uso de IA generativa,"Education, Machine Learning",Universidad de los Andes,4.7,59," 4 semanas de estudio, 4-6 horas/semana",40.0,Beginner,es,https://www.coursera.org/learn/fundamentos-del-uso-de-ia-generativa,Free Audit / Pay for Cert,Individual Course
Preparar os Dados para Exploração,"Data Analysis, Data Management",Google,,0,,,Beginner,pt-BR,https://www.coursera.org/learn/preparar-os-dados-para-exploracao,Free Audit / Pay for Cert,Individual Course
Protecting Sensitive Data in Gen AI Model Responses,"Computer Security And Networks, Cloud Computing",Google Cloud,,0,1 hour 30 minutes,1.5,Intermediate,en,https://www.coursera.org/learn/googlecloud-protecting-sensitive-data-in-gen-ai-model-responses-z32o9,Free Audit / Pay for Cert,Individual Course
Diseño de Experiencia en Servicios,Leadership And Management,Universidad Austral,4.8,758,4 semanas (2 - 5 horas/semana),40.0,Beginner,es,https://www.coursera.org/learn/diseno-experiencia-servicios,Free Audit / Pay for Cert,Individual Course
COVID-19 : à la recherche des contacts,Public Health,University of Geneva,,4,,,Beginner,fr,https://www.coursera.org/learn/covid-19-recherche-contacts,Free Audit / Pay for Cert,Individual Course
Research for Impact,Governance And Society,University of Cape Town,4.8,198,"6 weeks of study, 3-4 hours/week",21.0,Beginner,en,https://www.coursera.org/learn/research-for-impact,Free Audit / Pay for Cert,Individual Course
Principales procesos grupales en las organizaciones,"Psychology, Leadership And Management",Universitat Autònoma de Barcelona,,5,"4 semanas de estudio, 2 horas por semana",40.0,Beginner,es,https://www.coursera.org/learn/principales-procesos-grupales-en-las-organizaciones,Free Audit / Pay for Cert,Individual Course
Cisco Collaboration Foundations,"Networking, Computer Security And Networks",Cisco Learning and Certifications,,1,,,Beginner,en,https://www.coursera.org/learn/cisco-collaboration-foundations,Free Audit / Pay for Cert,Individual Course
Visual Development and Audio Design in Games,"Design And Product, Software Development",Epic Games ,3.5,31,"2 weeks of study, 10 hours/week",20.0,Beginner,en,https://www.coursera.org/learn/game-visual-development-and-audio-design,Free Audit / Pay for Cert,Individual Course
Migrating from Microsoft SQL Server to Amazon RDS,"Cloud Computing, Data Management",Amazon Web Services,4.7,27,,,Beginner,en,https://www.coursera.org/learn/aws-migrating-from-microsoft-sql-server-to-amazon-rds,Free Audit / Pay for Cert,Individual Course
Arduino Bootcamp - Learning Through Projects,"Electrical Engineering, Software Development",Packt,,3,,,Beginner,en,https://www.coursera.org/learn/packt-arduino-bootcamp-learning-through-projects-hv9rd,Free Audit / Pay for Cert,Individual Course
Microsoft Azure for ASP.NET Core,"Cloud Computing, Software Development",Packt,,1,,,Beginner,en,https://www.coursera.org/learn/packt-microsoft-azure-for-asp-net-core-whaoe,Free Audit / Pay for Cert,Individual Course
 Intel® Network Academy - Network Transformation 101,Networking,Intel,4.5,497,,,Beginner,en,https://www.coursera.org/learn/network-transformation-101,Free Audit / Pay for Cert,Individual Course
의료기술 및 의료기술평가,"Finance, Healthcare Management",University of Minnesota,,1,"4주 과정, 주당 2~4시간 소요",4.0,Beginner,ko,https://www.coursera.org/learn/healthcare-medical-technology-ko,Free Audit / Pay for Cert,Individual Course
Training on Agile Practices to Manage Complex Projects,"Software Development, Design And Product",Simplilearn,,0,,,Beginner,en,https://www.coursera.org/learn/training-on-agile-practices-to-manage-complex-projects,Free Audit / Pay for Cert,Individual Course
Foundations of Healthcare Data Analytics,"Data Analysis, Health Informatics",SkillUp,,0,"4 weeks of study, 2 hours/week",8.0,Intermediate,en,https://www.coursera.org/learn/foundations-of-healthcare-data-analytics,Free Audit / Pay for Cert,Individual Course
Java程序设计,"Software Development, Algorithms",Peking University,4.7,209,,,Intermediate,zh-CN,https://www.coursera.org/learn/java-chengxu-sheji,Free Audit / Pay for Cert,Individual Course
How to create a Jira SCRUM project,"Leadership And Management, Business Strategy",Coursera,4.7,88,2 hours,2.0,Beginner,en,https://www.coursera.org/learn/how-to-create-a-jira-scrum-project,Free Audit / Pay for Cert,Individual Course
Cómo captar talento en la era de la digitalización,"Psychology, Leadership And Management",Universitat Autònoma de Barcelona,,8,"4 semanas de estudio, 2 horas por semana",40.0,Beginner,es,https://www.coursera.org/learn/captar-talento-en-la-era-de-la-digitalizacion,Free Audit / Pay for Cert,Individual Course
Introduction to Digital Advertising,Marketing,University of Colorado Boulder,4.6,458,,,Beginner,en,https://www.coursera.org/learn/introduction-to-digital-advertising,Free Audit / Pay for Cert,Individual Course
Foundations of Public Health Practice: Health Protection,Public Health,Imperial College London,4.8,121,,,Beginner,en,https://www.coursera.org/learn/health-protection,Free Audit / Pay for Cert,Individual Course
Introduction to Accessibility and Universal Design,"Education, Personal Development",Aptly,,8,"4 weeks of study, 5-6 hours/week",22.0,Beginner,en,https://www.coursera.org/learn/introduction-to-accessibility-and-universal-design,Free Audit / Pay for Cert,Individual Course
Membuat Video yang Menarik dengan Google Vids,"Cloud Computing, Software Development",Google Cloud,,0,,,Beginner,id,https://www.coursera.org/learn/membuat-video-yang-menarik-dengan-google-vids-id,Free Audit / Pay for Cert,Individual Course
Entrepreneuriat : Croissance et Stratégie GTM,"Entrepreneurship, Business Strategy",Creo Incubator,,0,,,Intermediate,fr,https://www.coursera.org/learn/entrepreneuriat--croissance-et-stratgie-gtm,Free Audit / Pay for Cert,Individual Course
Dataplex: Qwik Start - Command Line,"Cloud Computing, Data Analysis",Google Cloud,,0,30 minutes,0.5,Beginner,en,https://www.coursera.org/learn/googlecloud-dataplex-qwik-start-command-line-ffi0e,Free Audit / Pay for Cert,Individual Course
European Business Law: Understanding the Fundamentals,"Business Essentials, Law",Lund University,4.8,1338,10-15 hours/week,12.5,Beginner,en,https://www.coursera.org/learn/european-law-fundamentals,Free Audit / Pay for Cert,Individual Course
