Course title,Skills,Organization,Ratings,Review count,Workload,Workload_Hour,Difficulty_level,Language,Course_link,Payment_Model,Course_Type
SQL Infrastructure: Secure and Optimize,"Data Analysis, Leadership And Management",Coursera,,0,170 minutes,2.8333333333333335,Advanced,en,https://www.coursera.org/learn/sql-infrastructure-secure-and-optimize,Free Audit / Pay for Cert,Individual Course
أنت وأنظمة التشغيل: كيف تصبح مستخدمًا محترفًا,"Support And Operations, Computer Security And Networks",Google,,2229,8 - 10 ساعات أسبوعيًا,9.0,Beginner,ar,https://www.coursera.org/learn/os-power-user-ar,Free Audit / Pay for Cert,Individual Course
Corporate governance. Mitos y realidades,Law,Universitat Autònoma de Barcelona,4.5,254,4 horas por semana,4.0,Beginner,es,https://www.coursera.org/learn/corporate-governance-mitos-realidades,Free Audit / Pay for Cert,Individual Course
Kubernetes From Basics to Guru: Unit 5,Cloud Computing,Pearson,,0,4 hours 12 minutes,4.0,Intermediate,en,https://www.coursera.org/learn/pearson-kubernetes-from-basics-to-guru-video-collection-5-hp3wc,Free Audit / Pay for Cert,Individual Course
Evaluate and Reproduce Data Findings Fast,"Data Analysis, Software Development",Coursera,,0,Approximately 165 minutes,2.75,Intermediate,en,https://www.coursera.org/learn/evaluate-and-reproduce-data-findings-fast,Free Audit / Pay for Cert,Individual Course
Build a Developer Portfolio with SvelteKit & Sanity CMS,"Mobile And Web Development, Cloud Computing",Packt,,1,,,Intermediate,en,https://www.coursera.org/learn/packt-build-a-developer-portfolio-with-sveltekit-sanity-cms-rpfdr,Free Audit / Pay for Cert,Individual Course
Negotiation and Ethical Practices in Account Management,"Marketing, Software Development",Microsoft,,0,,,Advanced,en,https://www.coursera.org/learn/microsoft-negotiation-and-ethical-practices-in-account-management,Free Audit / Pay for Cert,Individual Course
Terraform for absolute beginners,Software Development,Coursera,4.3,32,2 Hours,2.0,Beginner,en,https://www.coursera.org/learn/terraform-for-absolute-beginners,Free Audit / Pay for Cert,Individual Course
Data Publishing on BigQuery for Data Sharing Partners,"Cloud Computing, Data Management",Google Cloud,,0,45 minutes,0.75,Beginner,en,https://www.coursera.org/learn/googlecloud-data-publishing-on-bigquery-for-data-sharing-partners-fklvc,Free Audit / Pay for Cert,Individual Course
Building a Data Science Team,"Data Analysis, Leadership And Management",Johns Hopkins University,4.5,3336,"1 week of study, 4-6 hours",10.0,,en,https://www.coursera.org/learn/build-data-science-team,Free Audit / Pay for Cert,Individual Course
Empoderamiento juvenil y Educación social,"Education, Personal Development",Universitat Autònoma de Barcelona,4.7,11,"5 semanas de estudio, 5 horas por semana",50.0,Beginner,es,https://www.coursera.org/learn/empoderamiento-juvenil-educacion-social,Free Audit / Pay for Cert,Individual Course
Learning to Teach Online,"Education, Personal Development",UNSW Sydney (The University of New South Wales),4.7,3227,"6 Weeks, 3-4 hours/week",21.0,Beginner,en,https://www.coursera.org/learn/teach-online,Free Audit / Pay for Cert,Individual Course
"Master AI Tools & Robotics: Analyze, Automate, Innovate",Machine Learning,EDUCBA,,1,,,Beginner,en,https://www.coursera.org/learn/master-ai-tools-robotics-analyze-automate-innovate,Free Audit / Pay for Cert,Individual Course
Introducción a la Valoración financiera,"Finance, Business Essentials",Pontificia Universidad Católica de Chile,4.9,53,"16 horas totales, distribuidas en 4 semanas",40.0,Beginner,es,https://www.coursera.org/learn/introduccion-a-la-valoracion-financiera,Free Audit / Pay for Cert,Individual Course
Toma de decisiones financieras,Finance,Universidad Nacional Autónoma de México,4.6,236,,,Intermediate,es,https://www.coursera.org/learn/proyectofinanzascorporativas,Free Audit / Pay for Cert,Individual Course
Reconciling accounts and examining financial statements,"Business Essentials, Personal Development",Intuit,4.6,807,,,Beginner,en,https://www.coursera.org/learn/financial-statement-analysis,Free Audit / Pay for Cert,Individual Course
Introduction to Digital Health Entrepreneurship,"Health Informatics, Entrepreneurship",Johns Hopkins University,4.3,35,,,Beginner,en,https://www.coursera.org/learn/introduction-digital-health-entrepreneurship,Free Audit / Pay for Cert,Individual Course
Azure Data Storage Solutions ,"Cloud Computing, Data Management",Whizlabs,,0,"2 Weeks of Study, 4 hours/Week",8.0,Intermediate,en,https://www.coursera.org/learn/azure-data-storage-solutions,Free Audit / Pay for Cert,Individual Course
Zielsetzung für eine Facebook Werbekampagne,"Marketing, Entrepreneurship",Coursera,,0,2 Stunden,2.0,Intermediate,de,https://www.coursera.org/learn/zielsetzung-facebook-werbekampagne,Free Audit / Pay for Cert,Individual Course
Умения работы с Excel для бизнеса: уровень Intermediate I,"Business Essentials, Data Analysis",Macquarie University,5.0,62,"6 недель обучения, 2–4 часа в неделю",60.0,Intermediate,ru,https://www.coursera.org/learn/excel-intermediate-1-ru,Free Audit / Pay for Cert,Individual Course
Master ChatGPT & OpenAI APIs – Build AI Tools in Python,"Machine Learning, Algorithms",Packt,,3,,,Intermediate,en,https://www.coursera.org/learn/packt-master-chatgpt-openai-apis-build-ai-tools-in-python,Free Audit / Pay for Cert,Individual Course
YouTube Marketing 2026: YouTube SEO & Algorithms,"Marketing, Entrepreneurship",Alex Genadinik,,0,,,,en,https://www.coursera.org/learn/youtube,Free Audit / Pay for Cert,Individual Course
ريادة الأعمال: توليد الأفكار واستكشاف الأساسيات,"Entrepreneurship, Business Strategy",Creo Incubator,,0,,,Beginner,ar,https://www.coursera.org/learn/entrepreneurship-ideation-and-exploring-fundamentals-ar,Free Audit / Pay for Cert,Individual Course
Introduction to Javascript and Ajax: Building Web Apps,"Mobile And Web Development, Design And Product",Johns Hopkins University,4.4,48,"5 weeks of study, 4-6 hours/week",25.0,,en,https://www.coursera.org/learn/introduction-to-javascript-and-ajax-building-web-apps-jhu,Free Audit / Pay for Cert,Individual Course
Analyze Network Traffic with TCPDump: Build a Logging Tool,"Computer Security And Networks, Networking",Coursera,,0,1.5 hours,1.5,Intermediate,en,https://www.coursera.org/learn/analyze-network-traffic-tcpdump-build-logging-tool,Free Audit / Pay for Cert,Individual Course
UiPath Automation Developer Associate,Software Development,UiPath,,0,12 weeks with 4 hours per week,48.0,Intermediate,en,https://www.coursera.org/learn/uipath-automation-developer-associate,Free Audit / Pay for Cert,Individual Course
AWS Cloud Projects,"Software Development, Cloud Computing",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-aws-cloud-projects,Free Audit / Pay for Cert,Individual Course
"Variable Selection, Model Validation, Nonlinear Regression","Probability And Statistics, Math And Logic",Illinois Tech,,7,,,Intermediate,en,https://www.coursera.org/learn/illinois-tech-variable-selection-model-validation-and-nonlinear-regression,Free Audit / Pay for Cert,Individual Course
Ethical Leadership Through Giving Voice to Values,"Leadership And Management, Personal Development",University of Virginia,4.7,613,"4 weeks of study, 3-4 hours/week",14.0,Beginner,en,https://www.coursera.org/learn/uva-darden-giving-voice-to-values,Free Audit / Pay for Cert,Individual Course
Instagram Reels: Create Engaging Videos,"Marketing, Design And Product",Coursera,,4,45 minutes,0.75,Beginner,en,https://www.coursera.org/learn/instagram-reels-create-engaging-videos,Free Audit / Pay for Cert,Individual Course
Finalizing the Windmill and Integrating with Unreal Engine 5,"Design And Product, Mobile And Web Development",Packt,,0,,,Advanced,en,https://www.coursera.org/learn/packt-finalizing-the-windmill-and-integrating-wtih-unreal-engine-5--vcnvu,Free Audit / Pay for Cert,Individual Course
GenAI for Cybersecurity Analysts,"Computer Security And Networks, Security",Coursera,4.9,26,1 Hour,1.0,Intermediate,en,https://www.coursera.org/learn/genai-for-cybersecurity-analysts,Free Audit / Pay for Cert,Individual Course
"Technology Commercialization, Part 1: Setting up your Idea Filtering System","Entrepreneurship, Business Strategy",University of Rochester,4.3,61,1-3 hours/week,2.0,Beginner,en,https://www.coursera.org/learn/technology-commercialization,Free Audit / Pay for Cert,Individual Course
Windows Server Management and Security,"Security, Computer Security And Networks",University of Colorado System,4.7,671,,,Beginner,en,https://www.coursera.org/learn/windows-server-management-security,Free Audit / Pay for Cert,Individual Course
Coaching Skills,"Leadership And Management, Business Essentials",Packt,4.9,20,,,Beginner,en,https://www.coursera.org/learn/packt-coaching-skills-fvsil,Free Audit / Pay for Cert,Individual Course
L'entrepreneuriat social: faire son business plan,"Business Essentials, Entrepreneurship",ESSEC Business School,4.5,122,"4 semaines de cours, 1h30 à 4h/semaine",40.0,,fr,https://www.coursera.org/learn/monde-action,Free Audit / Pay for Cert,Individual Course
تعزيز الشبكات العصبية : ضبط وتحسين مقياس فرط المعلمات ,"Machine Learning, Algorithms",DeepLearning.AI,,0,"3 weeks, 3-6 hours per week",13.5,Beginner,ar,https://www.coursera.org/learn/deep-neural-network-ar,Free Audit / Pay for Cert,Individual Course
Advanced Semantic Processing,"Machine Learning, Algorithms",Packt,,4,,,Intermediate,en,https://www.coursera.org/learn/packt-advanced-semantic-processing-cvxc5,Free Audit / Pay for Cert,Individual Course
Using Git for Distributed Development,Software Development,The Linux Foundation,4.6,595,,,Beginner,en,https://www.coursera.org/learn/git-distributed-development,Free Audit / Pay for Cert,Individual Course
"Fundamentals of Immunology: Complement, MHC I and II, T Cells, and Cytokines",Basic Science,Rice University,4.8,498,"7 weeks of study, 5-8 hours/week",45.5,Intermediate,en,https://www.coursera.org/learn/immunologymhctcellscytokines,Free Audit / Pay for Cert,Individual Course
Angular for Front End Engineers,Mobile And Web Development,Codio,4.4,39,"3 weeks of study, 2-3 hours/week",7.5,Intermediate,en,https://www.coursera.org/learn/codio-angular-for-front-end-engineers,Free Audit / Pay for Cert,Individual Course
Analyze Data to Answer Questions,"Data Analysis, Data Management",Google,4.6,12171,,,Beginner,en,https://www.coursera.org/learn/analyze-data,Free Audit / Pay for Cert,Individual Course
Introdução ao Marketing Digital,"Marketing, Data Analysis",Fundação Instituto de Administração,,1,"4 semanas, de 4 a 5 horas por semana.",40.0,Beginner,pt-BR,https://www.coursera.org/learn/introducao-ao-marketing-digital,Free Audit / Pay for Cert,Individual Course
"Managing Responsibly: Practicing Sustainability, Responsibility and Ethics",Leadership And Management,University of Manchester   ,4.8,681,,,,en,https://www.coursera.org/learn/responsible-management,Free Audit / Pay for Cert,Individual Course
How to Understand Our Emotions: Seongho's New Proposal 1,"Philosophy, History",Sungkyunkwan University,,0,"8 weeks of study, 2-3 hours/week",20.0,Advanced,en,https://www.coursera.org/learn/how-to-understand-our-emotions-seonghos-new-proposal-1,Free Audit / Pay for Cert,Individual Course
Automate your DevOps pipelines with GitHub Actions,"Cloud Computing, Software Development",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-automate-your-devops-pipelines-with-github-actions-75x3n,Free Audit / Pay for Cert,Individual Course
세계화 시대의 보안 및 안전 문제,"Governance And Society, History",Universiteit Leiden,,0,"6주 과정, 주 당 3-5시간",6.0,Beginner,ko,https://www.coursera.org/learn/security-safety-globalized-world-ko,Free Audit / Pay for Cert,Individual Course
"Understanding, Using, and Securing Crypto and Digital Assets","Security, Data Management",Association of International Certified Professional Accountants,4.7,91,,,Beginner,en,https://www.coursera.org/learn/blcf20b,Free Audit / Pay for Cert,Individual Course
Preparando o Marketing Digital,"Marketing, Data Analysis",Fundação Instituto de Administração,,1,"4 semanas, de 4 a 5 horas por semana.",40.0,Beginner,pt-BR,https://www.coursera.org/learn/preparando-o-marketing-digital,Free Audit / Pay for Cert,Individual Course
Introduction to Git and GitHub,"Cloud Computing, Support And Operations",Google,4.8,7961,,,Beginner,en,https://www.coursera.org/learn/introduction-git-github,Free Audit / Pay for Cert,Individual Course
Networking Fundamentals,"Networking, Software Development",Packt,,153,,,Beginner,en,https://www.coursera.org/learn/packt-networking-fundamentals-3mbff,Free Audit / Pay for Cert,Individual Course
Visualize Healthcare Data: Build & Critique Dashboards,"Health Informatics, Data Analysis",Coursera,,0,160 minutes,2.6666666666666665,Beginner,en,https://www.coursera.org/learn/visualize-healthcare-data-build--critique-dashboards,Free Audit / Pay for Cert,Individual Course
Estratégicos empresariales: Proyecto final ,Business Strategy,Universidad Nacional Autónoma de México,4.2,18,"4 semanas de estudio, 3-4 horas por semana",40.0,,es,https://www.coursera.org/learn/estrategicos-empresariales-proyecto,Subscription,Capstone Project
TOEFL Reading and Listening Sections Skills Mastery,Learning English,"University of California, Irvine",4.4,487,"4 weeks of study, 1-3 hours/week",8.0,Beginner,en,https://www.coursera.org/learn/toefl-reading-listening-sections-skills-mastery,Free Audit / Pay for Cert,Individual Course
The ABCs of AWS: Learn the Basics of the AWS Cloud,Cloud Computing,Amazon Web Services,,4,,,Beginner,en,https://www.coursera.org/learn/the-abcs-of-aws,Free Audit / Pay for Cert,Individual Course
Gestão de Operações,Business Strategy,Insper,4.8,589,3-5h/semana,4.0,Beginner,pt-BR,https://www.coursera.org/learn/gestao-de-operacoes,Free Audit / Pay for Cert,Individual Course
Innovative Teaching with ChatGPT,"Education, Personal Development",Vanderbilt University,4.8,639,2 hours,2.0,Beginner,en,https://www.coursera.org/learn/chatgpt-innovative-teaching,Free Audit / Pay for Cert,Individual Course
